"Interval start","Graph 1","Graph 2"
"0.000","0","2129867"
"1.000","0","2477766"
"2.000","0","2705760"
"3.000","0","2680558"
"4.000","0","2632050"
"5.000","0","2693870"
"6.000","0","2695826"
"7.000","0","2688526"
"8.000","0","2687428"
"9.000","0","2688438"
"10.000","0","2688196"
"11.000","0","2687284"
"12.000","0","2688018"
"13.000","0","2683400"
"14.000","0","2687648"
"15.000","0","2685094"
"16.000","0","2688946"
"17.000","0","2685606"
"18.000","0","2683306"
"19.000","0","2687618"
"20.000","0","2691606"
"21.000","0","2683164"
"22.000","172","2689326"
"23.000","190924","2691276"
"24.000","2645160","2675216"
"25.000","2707420","2707552"
"26.000","2705272","2692996"
"27.000","2694016","2703664"
"28.000","2701992","2695720"
"29.000","2705632","2706684"
"30.000","2614584","2601424"
"31.000","2701160","2700072"
"32.000","2699384","2708636"
"33.000","2685840","2694420"
"34.000","2703572","2691988"
"35.000","2706516","2680008"
"36.000","2591732","2575192"
"37.000","2706176","2708280"
"38.000","2062256","2063704"
"39.000","2366420","2382768"
"40.000","2692656","2692128"
"41.000","2700376","2707012"
"42.000","2408674","2399772"

