"Interval start","Graph 1","Graph 2"
"0.000","21381282","408118"
"1.000","19472228","592"
"2.000","19293830","592"
"3.000","19800550","296"
"4.000","18949456","732744"
"5.000","8701732","8572854"
"6.000","10215612","5352906"
"7.000","16507300","2222878"
"8.000","15890688","9376"
"9.000","19673278","444"
"10.000","19224416","0"
"11.000","18803218","444"
"12.000","19287522","36668"
"13.000","20137164","48676"
"14.000","18947722","444"
"15.000","18167066","74628"
"16.000","20316372","296"
"17.000","20649254","1184"
"18.000","2140036","5663482"
"19.000","1254754","20123864"
"20.000","705806","12925384"
"21.000","250460","17714450"
"22.000","8532","19152636"
"23.000","8532","18497720"
"24.000","592","17923460"
"25.000","0","10946928"
"26.000","148","18425592"
"27.000","296","19613958"
"28.000","148","19102274"
"29.000","592","20627504"
"30.000","444","20060166"
"31.000","148","18305780"
"32.000","296","16386186"
"33.000","8532","17223044"
"34.000","148","19055992"
"35.000","740","19093566"
"36.000","592","19109774"
"37.000","296","19792556"
"38.000","740","20267548"
"39.000","740","20767598"
"40.000","296","20500194"
"41.000","296","20605894"
"42.000","4912","19182424"
"43.000","296","20153324"
"44.000","592","20748872"
"45.000","444","20733718"
"46.000","592","20899830"
"47.000","592","20961478"
"48.000","296","20521714"
"49.000","444","20565948"
"50.000","888","20340440"
"51.000","888","20193192"
"52.000","148","18291302"
"53.000","148","18855074"
"54.000","296","19552700"
"55.000","296","19080838"
"56.000","444","20589026"
"57.000","888","19615672"
"58.000","148","18719484"
"59.000","4912","16380034"
"60.000","888","19656908"
"61.000","888","19096430"
"62.000","0","19202624"
"63.000","592","18771584"
"64.000","6796","18637886"
"65.000","444","19502404"
"66.000","740","19624904"
"67.000","296","20359070"
"68.000","9347192","6985102"
"69.000","14202756","1862056"
"70.000","17517448","1386624"
"71.000","17603088","1228900"
"72.000","6998286","687654"
"73.000","18424136","364124"
"74.000","19056118","296"
"75.000","19593844","296"
"76.000","19471732","148"
"77.000","18800268","296"
"78.000","20018858","4912"
"79.000","17194988","148"
"80.000","17400430","148"
"81.000","20364360","296"
"82.000","18428672","19648"
"83.000","19441874","296"
"84.000","19627492","444"
"85.000","15502342","1235072"
"86.000","14091736","879400"
"87.000","15177802","321340"
"88.000","19768608","59196"
"89.000","19031980","57464"
"90.000","19162858","444"
"91.000","17092820","16990"
"92.000","15471448","27292"
"93.000","19879014","19500"
"94.000","20258610","10120"
"95.000","19956098","19352"
"96.000","20309840","10120"
"97.000","20598710","9824"
"98.000","19935080","148"
"99.000","15274760","16176"
"100.000","18530310","148"
"101.000","20094018","296"
"102.000","19828578","444"
"103.000","18103622","444"
"104.000","14704946","32056"
"105.000","20591828","16472"
"106.000","20498012","296"
"107.000","20776342","148"
"108.000","18152018","39700"

