"Interval start","Graph 1","Graph 2"
"13:45:56","2569055","2795432"
"13:45:57","2725198","2814372"
"13:45:58","2733892","2862086"
"13:45:59","2684876","2781556"
"13:46:00","2688842","2756134"
"13:46:01","2684562","2721250"
"13:46:02","2727050","2717900"
"13:46:03","2492310","2743610"
"13:46:04","2694366","2752110"
"13:46:05","2647486","2719658"
"13:46:06","2659242","2715728"
"13:46:07","2767204","2729180"
"13:46:08","2849704","2839292"
"13:46:09","2559258","2679840"
"13:46:10","2814192","2804454"
"13:46:11","2778902","2722594"
"13:46:12","2720056","2785562"
"13:46:13","2719792","2758014"
"13:46:14","2789738","2711472"
"13:46:15","2851284","2860092"
"13:46:16","2741936","2782234"
"13:46:17","2465074","2728140"
"13:46:18","2792972","2718558"
"13:46:19","2744606","2733638"
"13:46:20","2794800","2738854"
"13:46:21","2742978","2717664"
"13:46:22","2809868","2725270"
"13:46:23","2750784","2732798"
"13:46:24","2534520","2716288"
"13:46:25","2733828","2718802"
"13:46:26","2719906","2748096"
"13:46:27","2845860","2791168"
"13:46:28","2394968","2790084"
"13:46:29","2781764","2850834"
"13:46:30","2502016","2784106"
"13:46:31","2605980","2711250"
"13:46:32","2870534","2903798"
"13:46:33","2755662","2849202"
"13:46:34","2724196","2802608"
"13:46:35","2667486","2737512"
"13:46:36","2612398","2772720"
"13:46:37","2656330","2752180"
"13:46:38","2522034","2852406"
"13:46:39","2698448","2810122"
"13:46:40","2760306","2788404"
"13:46:41","2723028","2745156"
"13:46:42","2696776","2718906"
"13:46:43","2600672","2719444"
"13:46:44","2737242","2760022"
"13:46:45","2820390","2875238"
"13:46:46","2706674","2737164"
"13:46:47","2697662","2759590"
"13:46:48","2704834","2751894"
"13:46:49","2882890","2865624"
"13:46:50","2715286","2777214"
"13:46:51","2744286","2853338"
"13:46:52","2754328","2784910"
"13:46:53","2721196","2802032"
"13:46:54","2745690","2839326"
"13:46:55","2750532","2755868"
"13:46:56","2745354","2787260"
"13:46:57","2739262","2786028"
"13:46:58","2675698","2735912"
"13:46:59","2779700","2871138"
"13:47:00","2748194","2769038"
"13:47:01","2753216","2746686"
"13:47:02","2796026","2819616"
"13:47:03","2711838","2752540"
"13:47:04","2774942","2767254"
"13:47:05","2466024","2740056"
"13:47:06","2847206","2811884"
"13:47:07","2763712","2815652"
"13:47:08","2780092","2761666"
"13:47:09","2637684","2743840"
"13:47:10","2680848","2724498"
"13:47:11","2840966","2836240"
"13:47:12","2772548","2821762"
"13:47:13","2714918","2800144"
"13:47:14","2699262","2734138"
"13:47:15","2762072","2728356"
"13:47:16","2499126","2729246"
"13:47:17","2303668","2876246"
"13:47:18","2741226","2889278"
"13:47:19","2773076","2766766"
"13:47:20","2734758","2716102"
"13:47:21","2709232","2718062"
"13:47:22","2712102","2898174"
"13:47:23","2830718","2810234"
"13:47:24","2748786","2801410"
"13:47:25","2551686","2723522"
"13:47:26","2772598","2742862"
"13:47:27","2771074","2790668"
"13:47:28","2767336","2756522"
"13:47:29","2678856","2756916"
"13:47:30","2727348","2749794"
"13:47:31","2710074","2767658"
"13:47:32","2719280","2783708"
"13:47:33","2778854","2957972"
"13:47:34","2821188","2751196"
"13:47:35","2745970","2744400"
"13:47:36","2566888","2759976"
"13:47:37","2723210","2737340"
"13:47:38","2652562","2840350"
"13:47:39","2725550","2758726"
"13:47:40","2769960","2838974"
"13:47:41","2485822","2770986"
"13:47:42","2751532","2730486"
"13:47:43","2628040","2730778"
"13:47:44","2747548","2716884"
"13:47:45","2759852","2775076"
"13:47:46","2418994","2805464"
"13:47:47","2591846","2732656"
"13:47:48","2764510","2712402"
"13:47:49","2823910","2880648"
"13:47:50","2753368","2794868"
"13:47:51","2686192","2721400"
"13:47:52","2726360","2750320"
"13:47:53","2737732","2873040"
"13:47:54","2681356","2863664"
"13:47:55","2295294","2743310"
"13:47:56","2678310","2728292"
"13:47:57","2733898","2739730"
"13:47:58","2689432","2700602"
"13:47:59","2845652","2838274"
"13:48:00","2707126","2738918"
"13:48:01","2661052","2815612"
"13:48:02","2641438","2727530"
"13:48:03","2705612","2735054"
"13:48:04","2741376","2805708"
"13:48:05","2660050","2752588"
"13:48:06","2525514","2733278"
"13:48:07","2095864","2731014"
"13:48:08","2368946","2832758"
"13:48:09","2691654","2783900"
"13:48:10","2711668","2730292"
"13:48:11","2832182","2750034"
"13:48:12","2781650","2742764"
"13:48:13","2857960","2922926"
"13:48:14","2800784","2976806"
"13:48:15","2808958","2842560"
"13:48:16","2765874","2661728"
"13:48:17","2618994","2754706"
"13:48:18","2332392","2731406"
"13:48:19","2732522","2719432"
"13:48:20","2695098","2760538"
"13:48:21","2839966","2893704"
"13:48:22","2700406","2742770"
"13:48:23","2686750","2758130"
"13:48:24","2695922","2722014"
"13:48:25","2818174","2719442"
"13:48:26","2777874","2711308"
"13:48:27","2787786","2707204"
"13:48:28","2740418","2707540"
"13:48:29","2957634","2859082"
"13:48:30","2782054","2730572"
"13:48:31","2788978","2764912"
"13:48:32","2747300","2793332"
"13:48:33","2733262","2772598"
"13:48:34","2698970","2737472"
"13:48:35","2804634","2793880"
"13:48:36","2745256","2725282"
"13:48:37","2723644","2726752"
"13:48:38","2743696","2770202"
"13:48:39","2772868","2818892"
"13:48:40","2725658","2765070"
"13:48:41","2785018","2759364"
"13:48:42","2725822","2750628"
"13:48:43","2816258","2816518"
"13:48:44","2790346","2821804"
"13:48:45","2726036","2815582"
"13:48:46","2728420","2738134"
"13:48:47","2805960","2863872"
"13:48:48","2839570","2885380"
"13:48:49","2719066","2745058"
"13:48:50","2726764","2706072"
"13:48:51","2744558","2754690"
"13:48:52","2774978","2763746"
"13:48:53","2779350","2828344"
"13:48:54","2772066","2814464"
