"Interval start","Graph 1","Graph 2"
"13:36:49","0","0"
"13:36:50","0","0"
"13:36:51","0","0"
"13:36:52","0","0"
"13:36:53","0","0"
"13:36:54","0","0"
"13:36:55","0","0"
"13:36:56","0","0"
"13:36:57","0","0"
"13:36:58","0","0"
"13:36:59","0","0"
"13:37:00","0","0"
"13:37:01","0","0"
"13:37:02","0","0"
"13:37:03","0","0"
"13:37:04","0","0"
"13:37:05","0","0"
"13:37:06","0","0"
"13:37:07","0","0"
"13:37:08","0","0"
"13:37:09","0","0"
"13:37:10","0","0"
"13:37:11","0","0"
"13:37:12","0","0"
"13:37:13","0","0"
"13:37:14","0","0"
"13:37:15","0","0"
"13:37:16","0","0"
"13:37:17","0","0"
"13:37:18","0","0"
"13:37:19","109683","82102"
"13:37:20","2448616","2369394"
"13:37:21","3019808","3001124"
"13:37:22","2916934","3015254"
"13:37:23","2901214","3023936"
"13:37:24","2940934","2953816"
"13:37:25","2861890","2948784"
"13:37:26","2842438","2924946"
"13:37:27","3012976","3006546"
"13:37:28","3009764","2958274"
"13:37:29","3002826","2992538"
"13:37:30","2885952","3029508"
"13:37:31","2950880","2942968"
"13:37:32","2948648","3039020"
"13:37:33","2920354","2937096"
"13:37:34","2964908","2893548"
"13:37:35","2927308","2966518"
"13:37:36","2930240","3015096"
"13:37:37","2994034","2944188"
"13:37:38","2940628","2899698"
"13:37:39","3018564","2929818"
"13:37:40","2987562","2955298"
"13:37:41","2940616","2944624"
"13:37:42","2578040","3011958"
"13:37:43","2644386","2850506"
"13:37:44","2958062","2990604"
"13:37:45","3011464","2942714"
"13:37:46","2982308","2956456"
"13:37:47","2957802","2992744"
"13:37:48","2940240","2914586"
"13:37:49","2871138","2965840"
"13:37:50","3058022","3020498"
"13:37:51","2612684","2982910"
"13:37:52","2910454","2976948"
"13:37:53","2993992","3029340"
"13:37:54","2921172","3003320"
"13:37:55","2953530","2865702"
"13:37:56","2811376","2276698"
"13:37:57","2770516","2929682"
"13:37:58","2994192","2795636"
"13:37:59","2633888","2672298"
"13:38:00","2754832","2723670"
"13:38:01","2939424","2936952"
"13:38:02","2822250","2974582"
"13:38:03","2982644","2981428"
"13:38:04","2510398","2926062"
"13:38:05","2890008","2929718"
"13:38:06","3019284","2961538"
"13:38:07","2997906","3084976"
"13:38:08","2950642","2972356"
"13:38:09","2981170","2950658"
"13:38:10","2976734","3015330"
"13:38:11","2911446","3007550"
"13:38:12","2622170","2979328"
"13:38:13","2930058","2927378"
"13:38:14","2934644","2525240"
"13:38:15","2956686","2978622"
"13:38:16","2915474","2977648"
"13:38:17","2990052","2985032"
"13:38:18","2860976","2997666"
"13:38:19","2851856","2913602"
"13:38:20","2720396","2744206"
"13:38:21","3010626","2950736"
"13:38:22","2966250","2942354"
"13:38:23","2992510","2963178"
"13:38:24","2768794","2829514"
"13:38:25","2964832","2954458"
"13:38:26","2896300","2979144"
"13:38:27","2913962","2986038"
"13:38:28","2763444","2931408"
"13:38:29","2926964","2900452"
"13:38:30","2916462","2964718"
"13:38:31","2895432","2992758"
"13:38:32","3021012","2988724"
"13:38:33","2966362","2952926"
"13:38:34","2879226","2912652"
"13:38:35","2944162","3008768"
"13:38:36","2919084","2969380"
"13:38:37","2951082","2996120"
"13:38:38","2964704","3005346"
"13:38:39","2955124","2964436"
"13:38:40","2970324","2975826"
"13:38:41","2967938","2949900"
"13:38:42","2983062","2945290"
"13:38:43","2781304","2898514"
"13:38:44","3015780","2971380"
"13:38:45","2966960","3003048"
"13:38:46","2769526","2738448"
"13:38:47","2895866","2915060"
"13:38:48","2483530","2581644"
"13:38:49","2875156","2827904"
"13:38:50","797223","807756"

