"Interval start","Graph 1"
"13:45:24","44196"
"13:45:25","227728"
"13:45:26","640750"
"13:45:27","614124"
"13:45:28","617206"
"13:45:29","606194"
"13:45:30","606146"
"13:45:31","648650"
"13:45:32","656460"
"13:45:33","615584"
"13:45:34","601472"
"13:45:35","599958"
"13:45:36","632808"
"13:45:37","607726"
"13:45:38","607726"
"13:45:39","629900"
"13:45:40","628122"
"13:45:41","624974"
"13:45:42","609372"
"13:45:43","612400"
"13:45:44","623460"
"13:45:45","631348"
"13:45:46","632742"
"13:45:47","631108"
"13:45:48","635902"
"13:45:49","601484"
"13:45:50","606212"
"13:45:51","624986"
"13:45:52","613980"
"13:45:53","618840"
"13:45:54","637722"
"13:45:55","151400"
"13:45:56","27828"
"13:45:57","3028"
"13:45:58","134428"
"13:45:59","23130"
"13:46:00","104666"
"13:46:01","19946"
"13:46:02","322912"
"13:46:03","47900"
"13:46:04","115750"
"13:46:05","143974"
"13:46:06","19946"
"13:46:07","23106"
"13:46:08","182994"
"13:46:09","23040"
"13:46:10","23040"
"13:46:11","10730"
"13:46:12","27714"
"13:46:13","23040"
"13:46:14","23040"
"13:46:15","23040"
"13:46:16","376344"
"13:46:17","10730"
"13:46:18","27714"
"13:46:19","23040"
"13:46:20","38678"
"13:46:21","15338"
"13:46:22","63628"
"13:46:23","286578"
"13:46:24","15338"
"13:46:25","23208"
"13:46:26","23040"
"13:46:27","430214"
"13:46:28","7636"
"13:46:29","381474"
"13:46:30","134302"
"13:46:31","23106"
"13:46:32","20012"
"13:46:33","20012"
"13:46:34","106096"
"13:46:35","93678"
"13:46:36","104426"
"13:46:37","242602"
"13:46:38","77866"
"13:46:39","15338"
"13:46:40","48290"
"13:46:41","54478"
"13:46:42","156074"
"13:46:43","20012"
"13:46:44","21760"
"13:46:45","6122"
"13:46:46","90188"
"13:46:47","23040"
"13:46:48","18432"
"13:46:49","23040"
"13:46:50","19946"
"13:46:51","1514"
"13:46:52","24632"
"13:46:53","23208"
"13:46:54","23040"
"13:46:55","15338"
"13:46:56","23106"
"13:46:57","48278"
"13:46:58","24698"
"13:46:59","20012"
"13:47:00","62156"
"13:47:01","57236"
"13:47:02","27714"
"13:47:03","23040"
"13:47:04","322858"
"13:47:05","20036"
"13:47:06","101284"
"13:47:07","1514"
"13:47:08","148378"
"13:47:09","23130"
"13:47:10","23040"
"13:47:11","19946"
"13:47:12","23106"
"13:47:13","23040"
"13:47:14","16918"
"13:47:15","301410"
"13:47:16","441046"
"13:47:17","15338"
"13:47:18","1514"
"13:47:19","1514"
"13:47:20","9216"
"13:47:21","116056"
"13:47:22","27714"
"13:47:23","23040"
"13:47:24","230040"
"13:47:25","20012"
"13:47:26","18432"
"13:47:27","15338"
"13:47:28","118430"
"13:47:29","15338"
"13:47:30","87310"
"13:47:31","15338"
"13:47:32","92230"
"13:47:33","7636"
"13:47:34","6122"
"13:47:35","199142"
"13:47:36","24620"
"13:47:37","152240"
"13:47:38","54340"
"13:47:39","100052"
"13:47:40","235044"
"13:47:41","15338"
"13:47:42","167362"
"13:47:43","23040"
"13:47:44","23040"
"13:47:45","354500"
"13:47:46","148570"
"13:47:47","79462"
"13:47:48","20012"
"13:47:49","10832"
"13:47:50","66824"
"13:47:51","23040"
"13:47:52","23040"
"13:47:53","167182"
"13:47:54","491180"
"13:47:55","112098"
"13:47:56","23040"
"13:47:57","49876"
"13:47:58","12244"
"13:47:59","1514"
"13:48:00","118742"
"13:48:01","123224"
"13:48:02","203366"
"13:48:03","20036"
"13:48:04","136242"
"13:48:05","386100"
"13:48:06","694364"
"13:48:07","410882"
"13:48:08","20012"
"13:48:09","23106"
"13:48:10","23040"
"13:48:11","16918"
"13:48:12","23040"
"13:48:13","85790"
"13:48:14","23130"
"13:48:15","40336"
"13:48:16","255656"
"13:48:17","419160"
"13:48:18","49828"
"13:48:19","20012"
"13:48:20","70020"
"13:48:21","184910"
"13:48:22","79296"
"13:48:23","66812"
"13:48:24","3171"

