"Interval start","Graph 1"
"13:36:47","174748"
"13:36:48","617074"
"13:36:49","623460"
"13:36:50","675378"
"13:36:51","615560"
"13:36:52","621940"
"13:36:53","607858"
"13:36:54","615680"
"13:36:55","636010"
"13:36:56","620354"
"13:36:57","634322"
"13:36:58","639194"
"13:36:59","617074"
"13:37:00","640750"
"13:37:01","626554"
"13:37:02","621748"
"13:37:03","617140"
"13:37:04","637590"
"13:37:05","681446"
"13:37:06","637656"
"13:37:07","631282"
"13:37:08","620300"
"13:37:09","628134"
"13:37:10","612532"
"13:37:11","648758"
"13:37:12","632808"
"13:37:13","609282"
"13:37:14","614046"
"13:37:15","606212"
"13:37:16","613980"
"13:37:17","617308"
"13:37:18","32478"
"13:37:19","24866"
"13:37:20","79602"
"13:37:21","75036"
"13:37:22","24620"
"13:37:23","131352"
"13:37:24","158278"
"13:37:25","18510"
"13:37:26","24842"
"13:37:27","27714"
"13:37:28","117342"
"13:37:29","29342"
"13:37:30","62000"
"13:37:31","60582"
"13:37:32","20024"
"13:37:33","7636"
"13:37:34","1514"
"13:37:35","0"
"13:37:36","20012"
"13:37:37","20048"
"13:37:38","66980"
"13:37:39","42192"
"13:37:40","107862"
"13:37:41","23040"
"13:37:42","41862"
"13:37:43","29450"
"13:37:44","23040"
"13:37:45","23040"
"13:37:46","57458"
"13:37:47","217760"
"13:37:48","1514"
"13:37:49","78094"
"13:37:50","23040"
"13:37:51","23040"
"13:37:52","19946"
"13:37:53","1514"
"13:37:54","153040"
"13:37:55","223750"
"13:37:56","24620"
"13:37:57","150306"
"13:37:58","224146"
"13:37:59","10730"
"13:38:00","215886"
"13:38:01","23040"
"13:38:02","27792"
"13:38:03","23106"
"13:38:04","23040"
"13:38:05","59428"
"13:38:06","27714"
"13:38:07","15404"
"13:38:08","23040"
"13:38:09","74898"
"13:38:10","120484"
"13:38:11","15350"
"13:38:12","45286"
"13:38:13","50158"
"13:38:14","40660"
"13:38:15","24620"
"13:38:16","123302"
"13:38:17","23040"
"13:38:18","18432"
"13:38:19","20012"
"13:38:20","15338"
"13:38:21","15338"
"13:38:22","79482"
"13:38:23","101500"
"13:38:24","121806"
"13:38:25","18432"
"13:38:26","143698"
"13:38:27","7636"
"13:38:28","13890"
"13:38:29","70260"
"13:38:30","40270"
"13:38:31","23040"
"13:38:32","23040"
"13:38:33","10730"
"13:38:34","115564"
"13:38:35","27726"
"13:38:36","38942"
"13:38:37","23040"
"13:38:38","32544"
"13:38:39","27714"
"13:38:40","15338"
"13:38:41","159942"
"13:38:42","27714"
"13:38:43","23040"
"13:38:44","15338"
"13:38:45","115930"
"13:38:46","24620"
"13:38:47","12244"
"13:38:48","159276"
"13:38:49","617326"
"13:38:50","618600"
"13:38:51","631228"
"13:38:52","621856"
"13:38:53","598324"
"13:38:54","631294"
"13:38:55","626674"
"13:38:56","620312"
"13:38:57","629834"
"13:38:58","639062"
"13:38:59","615494"
"13:39:00","623328"
"13:39:01","623526"
"13:39:02","642342"
"13:39:03","623382"
"13:39:04","614178"
"13:39:05","609240"
"13:39:06","648674"
"13:39:07","658064"
"13:39:08","613848"
"13:39:09","634358"
"13:39:10","653258"
"13:39:11","623514"
"13:39:12","653534"
"13:39:13","640906"
"13:39:14","637614"
"13:39:15","625172"
"13:39:16","610886"
"13:39:17","609294"
"13:39:18","628254"
"13:39:19","639128"
"13:39:20","629690"
"13:39:21","612280"
"13:39:22","629900"
"13:39:23","626554"
"13:39:24","624908"
"13:39:25","626530"
"13:39:26","636010"
"13:39:27","648674"
"13:39:28","620498"
"13:39:29","628518"
"13:39:30","631348"
"13:39:31","642354"
"13:39:32","624974"
"13:39:33","612400"
"13:39:34","601538"
"13:39:35","617206"
"13:39:36","610886"
"13:39:37","614232"
"13:39:38","626476"
"13:39:39","613980"
"13:39:40","610886"
"13:39:41","615452"
"13:39:42","606320"
"13:39:43","670266"
"13:39:44","623526"
"13:39:45","610832"
"13:39:46","607714"
"13:39:47","50023"

