"Interval start","Graph 1"
"13:45:35","44546"
"13:45:36","597452"
"13:45:37","628842"
"13:45:38","622654"
"13:45:39","597692"
"13:45:40","627316"
"13:45:41","611594"
"13:45:42","616400"
"13:45:43","622654"
"13:45:44","598900"
"13:45:45","1077400"
"13:45:46","605340"
"13:45:47","605340"
"13:45:48","621074"
"13:45:49","611594"
"13:45:50","1184604"
"13:45:51","622606"
"13:45:52","598900"
"13:45:53","621074"
"13:45:54","591078"
"13:45:55","622588"
"13:45:56","597452"
"13:45:57","613216"
"13:45:58","621074"
"13:45:59","597452"
"13:46:00","616400"
"13:46:01","605340"
"13:46:02","605340"
"13:46:03","597452"
"13:46:04","592898"
"13:46:05","592898"
"13:46:06","313664"
"13:46:07","314421"
"13:46:08","301913"
"13:46:09","301913"
"13:46:10","314421"
"13:46:11","309714"
"13:46:12","309714"
"13:46:13","311294"
"13:46:14","298029"
"13:46:15","295539"
"13:46:16","314421"
"13:46:17","296449"
"13:46:18","298846"
"13:46:19","286170"
"13:46:20","311327"
"13:46:21","298726"
"13:46:22","297996"
"13:46:23","310537"
"13:46:24","295539"
"13:46:25","314421"
"13:46:26","298726"
"13:46:27","538700"
"13:46:28","297996"
"13:46:29","257666"
"13:46:30","305797"
"13:46:31","297996"
"13:46:32","308200"
"13:46:33","311327"
"13:46:34","299450"
"13:46:35","302670"
"13:46:36","311303"
"13:46:37","298726"
"13:46:38","308200"
"13:46:39","290075"
"13:46:40","308200"
"13:46:41","302670"
"13:46:42","308200"
"13:46:43","302670"
"13:46:44","295539"
"13:46:45","307338"
"13:46:46","311327"
"13:46:47","309714"
"13:46:48","298029"
"13:46:49","313658"
"13:46:50","310537"
"13:46:51","313658"
"13:46:52","314421"
"13:46:53","300339"
"13:46:54","309714"
"13:46:55","301913"
"13:46:56","314421"
"13:46:57","308200"
"13:46:58","306608"
"13:46:59","308200"
"13:47:00","297996"
"13:47:01","306608"
"13:47:02","538700"
"13:47:03","311327"
"13:47:04","298846"
"13:47:05","302670"
"13:47:06","309714"
"13:47:07","308200"
"13:47:08","297996"
"13:47:09","309714"
"13:47:10","313664"
"13:47:11","302670"
"13:47:12","311294"
"13:47:13","538700"
"13:47:14","311327"
"13:47:15","298029"
"13:47:16","309714"
"13:47:17","313658"
"13:47:18","538700"
"13:47:19","298726"
"13:47:20","314421"
"13:47:21","298726"
"13:47:22","305797"
"13:47:23","298029"
"13:47:24","298726"
"13:47:25","300339"
"13:47:26","310537"
"13:47:27","309714"
"13:47:28","298029"
"13:47:29","538700"
"13:47:30","302670"
"13:47:31","314421"
"13:47:32","298726"
"13:47:33","313664"
"13:47:34","311303"
"13:47:35","305797"
"13:47:36","311303"
"13:47:37","597452"
"13:47:38","628842"
"13:47:39","621074"
"13:47:40","591078"
"13:47:41","600678"
"13:47:42","622606"
"13:47:43","622606"
"13:47:44","605340"
"13:47:45","595992"
"13:47:46","622606"
"13:47:47","619428"
"13:47:48","611594"
"13:47:49","580150"
"13:47:50","627316"
"13:47:51","611594"
"13:47:52","616400"
"13:47:53","588050"
"13:47:54","597452"
"13:47:55","619428"
"13:47:56","596058"
"13:47:57","597452"
"13:47:58","591078"
"13:47:59","597452"
"13:48:00","592898"
"13:48:01","622588"
"13:48:02","605340"
"13:48:03","622654"
"13:48:04","619428"
"13:48:05","622588"
"13:48:06","605340"
"13:48:07","597692"
"13:48:08","1001072"
"13:48:09","621074"
"13:48:10","580150"
"13:48:11","605340"
"13:48:12","1072828"
"13:48:13","621074"
"13:48:14","611594"
"13:48:15","628842"
"13:48:16","591078"
"13:48:17","622654"
"13:48:18","1073703"
"13:48:19","628842"
"13:48:20","621074"
"13:48:21","622588"
"13:48:22","572340"
"13:48:23","592898"
"13:48:24","592898"
"13:48:25","616400"
"13:48:26","622654"
"13:48:27","1077473"
"13:48:28","605340"
"13:48:29","572340"
"13:48:30","622654"
"13:48:31","597692"
"13:48:32","597692"
"13:48:33","611594"
"13:48:34","591078"
"13:48:35","627316"
"13:48:36","619428"
"13:48:37","4409"
