"Interval start","Graph 1"
"0.000","8687"
"1.000","117800"
"2.000","61764"
"3.000","42720"
"4.000","49208"
"5.000","73118"
"6.000","49208"
"7.000","39680"
"8.000","31744"
"9.000","69844"
"10.000","63488"
"11.000","58736"
"12.000","88768"
"13.000","41272"
"14.000","49208"
"15.000","41272"
"16.000","58736"
"17.000","39680"
"18.000","50800"
"19.000","50656"
"20.000","52380"
"21.000","49208"
"22.000","58736"
"23.000","31744"
"24.000","39680"
"25.000","47604"
"26.000","53984"
"27.000","39680"
"28.000","31744"
"29.000","39680"
"30.000","71292"
"31.000","74464"
"32.000","58736"
"33.000","42720"
"34.000","49310"
"35.000","39680"
"36.000","50800"
"37.000","112696"
"38.000","41272"
"39.000","71292"
"40.000","46024"
"41.000","55432"
"42.000","82400"
"43.000","50800"
"44.000","69844"
"45.000","47472"
"46.000","44456"
"47.000","71394"
"48.000","52380"
"49.000","39680"
"50.000","49208"
"51.000","69844"
"52.000","71424"
"53.000","31744"
"54.000","71292"
"55.000","60316"
"56.000","41272"
"57.000","49208"
"58.000","52380"
"59.000","49208"
"60.000","71292"
"61.000","52380"
"62.000","69844"
"63.000","31744"
"64.000","101444"
"65.000","68108"
"66.000","79228"
"67.000","93376"
"68.000","62010"
"69.000","39680"
"70.000","36496"
"71.000","44456"
"72.000","50788"
"73.000","52248"
"74.000","39524"
"75.000","7900"
"76.000","7900"
"77.000","7900"
"78.000","7900"
"79.000","6320"
"80.000","7900"
"81.000","7900"
"82.000","7900"
"83.000","7900"
"84.000","7900"
"85.000","6320"
"86.000","7900"
"87.000","9516"
"88.000","7960"
"89.000","11246"
"90.000","7960"
"91.000","7960"
"92.000","7960"
"93.000","7960"
"94.000","9560"
"95.000","92604"
"96.000","49208"
"97.000","41272"
"98.000","49208"
"99.000","39680"
"100.000","31744"
"101.000","39680"
"102.000","79216"
"103.000","55666"
"104.000","60184"
"105.000","31744"
"106.000","39680"
"107.000","60316"
"108.000","73016"
"109.000","49208"
"110.000","31744"
"111.000","39680"
"112.000","50758"
"113.000","61908"
"114.000","39680"
"115.000","31744"
"116.000","69844"
"117.000","50788"
"118.000","30164"
"119.000","50656"
"120.000","41272"
"121.000","39680"
"122.000","39680"
"123.000","41272"
"124.000","61764"
"125.000","60160"
"126.000","58592"
"127.000","49208"
"128.000","53828"
"129.000","101456"
"130.000","50800"
"131.000","77792"
"132.000","93640"
"133.000","42720"
"134.000","57144"
"135.000","7900"
"136.000","11186"
"137.000","7960"
"138.000","6368"
"139.000","7912"
"140.000","7900"
"141.000","8002"
"142.000","7900"
"143.000","7900"
"144.000","6320"
"145.000","7900"
"146.000","7900"
"147.000","7900"
"148.000","7900"
"149.000","7900"
"150.000","11060"
"151.000","6320"
"152.000","7900"
"153.000","7900"
"154.000","7900"
"155.000","11060"
"156.000","6320"
"157.000","7900"
"158.000","7900"
"159.000","7900"
"160.000","8002"
"161.000","9504"
"162.000","7960"
"163.000","157764"
"164.000","49208"
"165.000","49208"
"166.000","52380"
"167.000","58736"
"168.000","50800"
"169.000","49208"
"170.000","90456"
"171.000","53984"
"172.000","49208"
"173.000","55276"
"174.000","39680"
"175.000","61920"
"176.000","47718"
"177.000","39680"
"178.000","50800"
"179.000","100008"
"180.000","31744"
"181.000","49208"
"182.000","4926"
"183.000","0"
"184.000","102"

