"Interval start","Graph 1"
"0.000","11841"
"1.000","11168"
"2.000","7960"
"3.000","7960"
"4.000","7900"
"5.000","8002"
"6.000","9492"
"7.000","7960"
"8.000","7960"
"9.000","6368"
"10.000","8062"
"11.000","7960"
"12.000","7960"
"13.000","7960"
"14.000","12752"
"15.000","7960"
"16.000","7960"
"17.000","7960"
"18.000","7960"
"19.000","6368"
"20.000","7960"
"21.000","7960"
"22.000","9560"
"23.000","100540"
"24.000","49208"
"25.000","53960"
"26.000","49208"
"27.000","41272"
"28.000","60316"
"29.000","49208"
"30.000","31744"
"31.000","49208"
"32.000","50800"
"33.000","71424"
"34.000","72872"
"35.000","50800"
"36.000","39680"
"37.000","31744"
"38.000","69844"
"39.000","39680"
"40.000","50800"
"41.000","69946"
"42.000","31744"
"43.000","39680"
"44.000","71292"
"45.000","42852"
"46.000","58736"
"47.000","55540"
"48.000","7900"
"49.000","6320"
"50.000","7900"
"51.000","7900"
"52.000","8002"
"53.000","7900"
"54.000","7900"
"55.000","9504"
"56.000","7960"
"57.000","7960"
"58.000","7960"
"59.000","6368"
"60.000","7960"
"61.000","7960"
"62.000","7960"
"63.000","16000"
"64.000","8000"
"65.000","8000"
"66.000","8000"
"67.000","8000"
"68.000","8000"
"69.000","8000"
"70.000","6400"
"71.000","7992"
"72.000","7912"
"73.000","8002"
"74.000","7900"
"75.000","7900"
"76.000","6320"
"77.000","7900"
"78.000","31756"
"79.000","11072"
"80.000","7900"
"81.000","7900"
"82.000","7900"
"83.000","7900"
"84.000","6320"
"85.000","7900"
"86.000","7900"
"87.000","7900"
"88.000","7900"
"89.000","11060"
"90.000","7900"
"91.000","7900"
"92.000","6320"
"93.000","7900"
"94.000","7900"
"95.000","7900"
"96.000","12712"
"97.000","7960"
"98.000","7960"
"99.000","7960"
"100.000","8062"
"101.000","7960"
"102.000","6368"
"103.000","7960"
"104.000","7960"
"105.000","12854"
"106.000","7960"
"107.000","7960"
"108.000","7960"
"109.000","7960"
"110.000","7960"
"111.000","7960"
"112.000","7960"
"113.000","12752"
"114.000","7960"
"115.000","7960"
"116.000","6368"
"117.000","7960"
"118.000","7960"
"119.000","7960"
"120.000","7960"
"121.000","7960"
"122.000","12752"
"123.000","7960"
"124.000","7960"
"125.000","7960"
"126.000","7960"
"127.000","6368"
"128.000","7960"
"129.000","7960"
"130.000","12752"
"131.000","7960"
"132.000","7960"
"133.000","7960"
"134.000","7960"
"135.000","7960"
"136.000","7960"
"137.000","8062"
"138.000","7960"
"139.000","12752"
"140.000","7960"
"141.000","6368"
"142.000","7960"
"143.000","7960"
"144.000","7960"
"145.000","7960"
"146.000","7960"
"147.000","12752"
"148.000","8062"
"149.000","7960"
"150.000","7960"
"151.000","7960"
"152.000","7960"
"153.000","6368"
"154.000","7960"
"155.000","7960"
"156.000","12752"
"157.000","7960"
"158.000","7960"
"159.000","7960"
"160.000","7960"
"161.000","7960"
"162.000","7960"
"163.000","7960"
"164.000","12752"
"165.000","7960"
"166.000","6368"
"167.000","7960"
"168.000","7960"
"169.000","8062"
"170.000","7960"
"171.000","7960"
"172.000","7960"
"173.000","12752"
"174.000","7960"
"175.000","7960"
"176.000","7960"
"177.000","7960"
"178.000","6368"
"179.000","7960"
"180.000","7960"
"181.000","9560"
"182.000","11152"
"183.000","7960"
"184.000","7960"
"185.000","7960"
"186.000","7960"
"187.000","7960"
"188.000","7960"
"189.000","7960"
"190.000","12752"
"191.000","6368"
"192.000","7960"
"193.000","7960"
"194.000","7960"
"195.000","7960"
"196.000","8062"
"197.000","7960"
"198.000","9560"
"199.000","110068"
"200.000","50800"
"201.000","76134"
"202.000","131452"
"203.000","72872"
"204.000","52380"
"205.000","69844"
"206.000","79348"
"207.000","53984"
"208.000","60316"
"209.000","31744"
"210.000","49208"
"211.000","68264"
"212.000","41272"
"213.000","58736"
"214.000","50800"
"215.000","63344"
"216.000","64936"
"217.000","39680"
"218.000","50788"
"219.000","50800"
"220.000","50788"
"221.000","73016"
"222.000","52236"
"223.000","39680"
"224.000","50800"
"225.000","49208"
"226.000","36496"
"227.000","45904"
"228.000","58736"
"229.000","50800"
"230.000","50656"
"231.000","30194"

