"Interval start","Graph 1","Graph 2"
"0.000","1521343","1562075"
"1.000","1487382","1509928"
"2.000","1496314","1553938"
"3.000","1604846","1616450"
"4.000","1515950","1553474"
"5.000","1569728","1595914"
"6.000","1617764","1680148"
"7.000","1536754","1574950"
"8.000","1501596","1487166"
"9.000","1541362","1624326"
"10.000","1551354","1578786"
"11.000","1617492","1665100"
"12.000","1516754","1567466"
"13.000","1583690","1528492"
"14.000","1564782","1645532"
"15.000","1083362","681430"
"16.000","2437150","0"
"17.000","2820624","0"
"18.000","2784346","0"
"19.000","2817594","0"
"20.000","2849318","0"
"21.000","2810410","0"
"22.000","2796222","0"
"23.000","2811266","0"
"24.000","2767018","0"
"25.000","2760928","0"
"26.000","2759680","0"
"27.000","2767014","0"
"28.000","2789154","0"
"29.000","2797388","0"
"30.000","2747796","0"
"31.000","2796256","0"
"32.000","2811572","0"
"33.000","2859808","0"
"34.000","2877324","0"
"35.000","2859074","344"
"36.000","2873306","344"
"37.000","2816148","0"
"38.000","2877826","344"
"39.000","2835090","0"
"40.000","2893878","0"
"41.000","2819130","0"
"42.000","2881436","344"
"43.000","2812520","0"
"44.000","2843480","0"
"45.000","2401544","0"
"46.000","2790930","0"
"47.000","2913680","0"
"48.000","2826544","0"
"49.000","2750942","0"
"50.000","2832268","344"
"51.000","2764546","0"
"52.000","2759780","0"
"53.000","2762484","0"
"54.000","2789622","0"
"55.000","2801004","0"
"56.000","2800990","0"
"57.000","2900332","0"
"58.000","2818578","0"
"59.000","2768164","0"
"60.000","21457","0"
"61.000","0","0"
"62.000","0","0"
"63.000","0","0"

