"Interval start","Graph 1"
"0.000","180354"
"1.000","697708"
"2.000","704016"
"3.000","659866"
"4.000","757724"
"5.000","629960"
"6.000","618918"
"7.000","716656"
"8.000","630044"
"9.000","732456"
"10.000","631624"
"11.000","659920"
"12.000","659812"
"13.000","729362"
"14.000","697828"
"15.000","697816"
"16.000","677168"
"17.000","689742"
"18.000","726124"
"19.000","680406"
"20.000","500296"
"21.000","0"
"22.000","0"
"23.000","0"
"24.000","0"
"25.000","0"
"26.000","0"
"27.000","0"
"28.000","0"
"29.000","0"
"30.000","0"
"31.000","0"
"32.000","0"
"33.000","0"
"34.000","0"
"35.000","0"
"36.000","0"
"37.000","0"
"38.000","0"
"39.000","0"
"40.000","0"
"41.000","0"
"42.000","0"
"43.000","0"
"44.000","0"
"45.000","0"
"46.000","0"
"47.000","180"
"48.000","78"
"49.000","160"
"50.000","90"
"51.000","0"
"52.000","0"
"53.000","70"
"54.000","0"
"55.000","0"
"56.000","0"
"57.000","70"
"58.000","0"
"59.000","0"
"60.000","0"
"61.000","0"
"62.000","0"
"63.000","0"
"64.000","0"
"65.000","0"
"66.000","0"
"67.000","0"
"68.000","0"
"69.000","0"
"70.000","0"
"71.000","0"
"72.000","4722"
"73.000","547144"
"74.000","768652"
"75.000","708822"
"76.000","614190"
"77.000","711964"
"78.000","710378"
"79.000","718236"
"80.000","658352"
"81.000","631492"
"82.000","680382"
"83.000","756264"
"84.000","658286"
"85.000","697828"
"86.000","697774"
"87.000","642540"
"88.000","773470"
"89.000","702568"
"90.000","297176"

